epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,136.264,0.7144,0.73896,0.83259,0.99781,1,0.995,0.89508,0.85378,1.06537,0.91661,0.0017162,0.0017162,0.0017162
45,140.634,0.83561,0.72621,0.82723,0.99781,1,0.995,0.89508,0.85378,1.06537,0.91661,0.0017096,0.0017096,0.0017096
46,144.314,0.75455,0.70957,0.82373,0.9959,1,0.995,0.94504,0.65138,0.88294,0.87327,0.001703,0.001703,0.001703
47,147.022,0.76863,0.7392,0.84714,1,0.99876,0.995,0.84554,0.67047,0.82967,0.8658,0.0016964,0.0016964,0.0016964
48,149.935,0.71846,0.68013,0.84455,1,0.99537,0.995,0.94504,0.56019,0.91333,0.85708,0.0016898,0.0016898,0.0016898
49,152.914,0.71613,0.69629,0.85078,1,0.99537,0.995,0.94504,0.56019,0.91333,0.85708,0.0016832,0.0016832,0.0016832
50,156.308,0.92991,0.7673,0.872,1,0.99719,0.995,0.89509,0.57689,0.85306,0.86399,0.0016766,0.0016766,0.0016766
51,159.522,0.80199,0.70203,0.83596,0.99256,1,0.995,0.94505,0.54996,0.77123,0.86152,0.00167,0.00167,0.00167
52,162.745,0.72258,0.72047,0.8127,0.98955,1,0.995,0.94505,0.6743,0.76167,0.86999,0.0016634,0.0016634,0.0016634
53,165.987,0.77365,0.70633,0.85787,0.98955,1,0.995,0.94505,0.6743,0.76167,0.86999,0.0016568,0.0016568,0.0016568
54,169.253,0.86119,0.74637,0.8291,0.98979,1,0.995,0.8955,0.69226,0.71794,0.87881,0.0016502,0.0016502,0.0016502
55,172.101,0.88286,0.7287,0.84163,0.98409,1,0.995,0.8955,0.56677,0.65532,0.86095,0.0016436,0.0016436,0.0016436
56,174.932,0.81582,0.7464,0.82622,0.98256,1,0.995,0.8951,0.67937,0.67237,0.87605,0.001637,0.001637,0.001637
57,177.804,0.90258,0.71274,0.82803,0.98256,1,0.995,0.8951,0.67937,0.67237,0.87605,0.0016304,0.0016304,0.0016304
58,180.916,0.73984,0.67088,0.80974,0.98292,1,0.995,0.94505,0.60198,0.58064,0.85674,0.0016238,0.0016238,0.0016238
59,183.92,0.73282,0.62764,0.83621,0.98287,1,0.995,0.9203,0.63779,0.67402,0.85505,0.0016172,0.0016172,0.0016172
60,186.788,0.87931,0.65692,0.82471,0.9832,1,0.995,0.84555,0.70851,0.64925,0.85988,0.0016106,0.0016106,0.0016106
61,189.793,0.79474,0.68725,0.89398,0.9832,1,0.995,0.84555,0.70851,0.64925,0.85988,0.001604,0.001604,0.001604
62,193.023,0.76329,0.63381,0.84034,0.98306,1,0.995,0.89511,0.59492,0.54597,0.85646,0.0015974,0.0015974,0.0015974
63,196.673,0.77538,0.62365,0.8428,0.98228,1,0.995,0.84556,0.6418,0.52148,0.86093,0.0015908,0.0015908,0.0015908
64,200.13,0.72172,0.62422,0.78064,0.98113,1,0.995,0.8955,0.67306,0.56724,0.86103,0.0015842,0.0015842,0.0015842
65,203.79,0.69323,0.64631,0.79756,0.98113,1,0.995,0.8955,0.67306,0.56724,0.86103,0.0015776,0.0015776,0.0015776
66,207.23,0.73848,0.63993,0.81339,0.9811,1,0.995,0.94506,0.56063,0.52485,0.85324,0.001571,0.001571,0.001571
67,210.263,0.80029,0.63427,0.84266,0.98172,1,0.995,0.8955,0.55009,0.5428,0.84072,0.0015644,0.0015644,0.0015644
68,213.12,0.79032,0.60815,0.82711,0.98252,1,0.995,0.8955,0.6447,0.54834,0.85379,0.0015578,0.0015578,0.0015578
69,216.088,0.71976,0.6065,0.83204,0.98252,1,0.995,0.8955,0.6447,0.54834,0.85379,0.0015512,0.0015512,0.0015512
70,219.569,0.68077,0.54788,0.83566,0.98262,1,0.995,0.8955,0.63446,0.51427,0.8548,0.0015446,0.0015446,0.0015446
71,222.587,0.67841,0.5748,0.83693,0.98272,1,0.995,0.94507,0.3771,0.43437,0.83052,0.001538,0.001538,0.001538
72,225.376,0.67694,0.56778,0.82523,0.98293,1,0.995,0.8955,0.46296,0.43532,0.8325,0.0015314,0.0015314,0.0015314
73,228.286,0.77723,0.59333,0.79106,0.98293,1,0.995,0.8955,0.46296,0.43532,0.8325,0.0015248,0.0015248,0.0015248
74,231.45,0.76612,0.61645,0.83284,0.98301,1,0.995,0.8955,0.49572,0.50131,0.83052,0.0015182,0.0015182,0.0015182
75,234.47,0.69624,0.6011,0.81785,0.98295,1,0.995,0.94507,0.42316,0.40781,0.82983,0.0015116,0.0015116,0.0015116
76,237.755,0.69962,0.59478,0.84482,0.98278,1,0.995,0.94507,0.49389,0.37785,0.8477,0.001505,0.001505,0.001505
77,241.13,0.73656,0.56334,0.83346,0.98278,1,0.995,0.94507,0.49389,0.37785,0.8477,0.0014984,0.0014984,0.0014984
78,245.235,0.65614,0.53815,0.82708,0.98289,1,0.995,0.8955,0.47802,0.49627,0.83504,0.0014918,0.0014918,0.0014918
79,249.38,0.76137,0.61071,0.82183,0.98307,1,0.995,0.92035,0.47552,0.49808,0.83234,0.0014852,0.0014852,0.0014852
80,253.06,0.78504,0.55658,0.80054,0.983,1,0.995,0.94511,0.51094,0.53089,0.84316,0.0014786,0.0014786,0.0014786
81,257.101,0.73597,0.61924,0.78312,0.983,1,0.995,0.94511,0.51094,0.53089,0.84316,0.001472,0.001472,0.001472
82,260.921,0.71004,0.57177,0.79018,0.98309,1,0.995,0.94511,0.52262,0.52596,0.84307,0.0014654,0.0014654,0.0014654
83,264.816,0.6884,0.55995,0.78049,0.98323,1,0.995,0.94512,0.54821,0.45674,0.85226,0.0014588,0.0014588,0.0014588
84,268.3,0.70638,0.56958,0.8354,0.98341,1,0.995,0.94512,0.57588,0.38561,0.8657,0.0014522,0.0014522,0.0014522
85,271.638,0.78873,0.57278,0.84825,0.98341,1,0.995,0.94512,0.57588,0.38561,0.8657,0.0014456,0.0014456,0.0014456
86,274.779,0.76874,0.58281,0.84176,0.98339,1,0.995,0.94513,0.55919,0.40724,0.85327,0.001439,0.001439,0.001439
87,277.641,0.7821,0.57196,0.83306,0.98297,1,0.995,0.94515,0.49673,0.46154,0.84607,0.0014324,0.0014324,0.0014324
88,280.649,0.67844,0.57968,0.8118,0.98299,1,0.995,0.94515,0.55624,0.44149,0.85165,0.0014258,0.0014258,0.0014258
89,283.734,0.80437,0.55928,0.82662,0.98299,1,0.995,0.94515,0.55624,0.44149,0.85165,0.0014192,0.0014192,0.0014192
90,286.607,0.71314,0.54689,0.7968,0.98332,1,0.995,0.8955,0.57751,0.46907,0.83799,0.0014126,0.0014126,0.0014126
91,289.536,0.72662,0.5645,0.82298,0.98356,1,0.995,0.84566,0.59308,0.55488,0.83711,0.001406,0.001406,0.001406
92,292.083,0.70917,0.55768,0.82765,0.98338,1,0.995,0.8953,0.53125,0.45499,0.84795,0.0013994,0.0013994,0.0013994
93,294.733,0.72591,0.55789,0.82969,0.98338,1,0.995,0.8953,0.53125,0.45499,0.84795,0.0013928,0.0013928,0.0013928
94,297.47,0.6585,0.52182,0.8252,0.98331,1,0.995,0.89531,0.53102,0.44623,0.84108,0.0013862,0.0013862,0.0013862
95,300.334,0.6813,0.53834,0.8021,0.98291,1,0.995,0.84567,0.60748,0.51573,0.85833,0.0013796,0.0013796,0.0013796
96,303.249,0.68476,0.53016,0.83152,0.98312,1,0.995,0.84565,0.58818,0.4384,0.8469,0.001373,0.001373,0.001373
97,305.881,0.60445,0.5002,0.79427,0.98312,1,0.995,0.84565,0.58818,0.4384,0.8469,0.0013664,0.0013664,0.0013664
98,308.581,0.63007,0.5134,0.81561,0.98305,1,0.995,0.94515,0.51488,0.35073,0.8382,0.0013598,0.0013598,0.0013598
99,311.478,0.63681,0.50348,0.8021,0.98302,1,0.995,0.94517,0.36501,0.36642,0.81711,0.0013532,0.0013532,0.0013532
100,314.395,0.5475,0.48539,0.80784,0.98296,1,0.995,0.92042,0.46881,0.38976,0.82492,0.0013466,0.0013466,0.0013466
101,317.717,0.7476,0.51192,0.84247,0.98296,1,0.995,0.92042,0.46881,0.38976,0.82492,0.00134,0.00134,0.00134
102,320.208,0.72019,0.50383,0.82272,0.98285,1,0.995,0.92041,0.5225,0.47304,0.83482,0.0013334,0.0013334,0.0013334
103,322.782,0.77186,0.52247,0.81318,0.98262,1,0.995,0.8955,0.56198,0.45067,0.84342,0.0013268,0.0013268,0.0013268
104,325.325,0.64731,0.54867,0.84977,0.98224,1,0.995,0.8955,0.5418,0.39597,0.84334,0.0013202,0.0013202,0.0013202
105,328.026,0.61797,0.49076,0.82116,0.98224,1,0.995,0.8955,0.5418,0.39597,0.84334,0.0013136,0.0013136,0.0013136
106,330.578,0.59265,0.50447,0.80382,0.98227,1,0.995,0.8955,0.48069,0.36038,0.84003,0.001307,0.001307,0.001307
107,333.309,0.61871,0.5324,0.84336,0.98246,1,0.995,0.8955,0.51526,0.36188,0.84591,0.0013004,0.0013004,0.0013004
108,335.873,0.62298,0.52219,0.79959,0.98264,1,0.995,0.8955,0.54337,0.35436,0.8505,0.0012938,0.0012938,0.0012938
109,338.419,0.5765,0.47538,0.86607,0.98264,1,0.995,0.8955,0.54337,0.35436,0.8505,0.0012872,0.0012872,0.0012872
110,341.227,0.67227,0.46955,0.81579,0.98254,1,0.995,0.8955,0.62774,0.43659,0.85713,0.0012806,0.0012806,0.0012806
111,343.84,0.63208,0.46898,0.80428,0.98257,1,0.995,0.94517,0.56962,0.4491,0.85358,0.001274,0.001274,0.001274
112,346.731,0.65423,0.4888,0.83552,0.9826,1,0.995,0.89533,0.56155,0.44862,0.84951,0.0012674,0.0012674,0.0012674
113,349.632,0.67803,0.48553,0.80283,0.9826,1,0.995,0.89533,0.56155,0.44862,0.84951,0.0012608,0.0012608,0.0012608
114,352.175,0.67613,0.49541,0.80955,0.98265,1,0.995,0.84567,0.62982,0.42578,0.8551,0.0012542,0.0012542,0.0012542
115,354.794,0.6478,0.4643,0.82618,0.98264,1,0.995,0.94517,0.42702,0.40072,0.83095,0.0012476,0.0012476,0.0012476
116,357.931,0.58086,0.46535,0.81461,0.98291,1,0.995,0.995,0.35897,0.33426,0.82542,0.001241,0.001241,0.001241
117,361.09,0.60597,0.45194,0.82206,0.98291,1,0.995,0.995,0.35897,0.33426,0.82542,0.0012344,0.0012344,0.0012344
118,364.146,0.60677,0.44659,0.81934,0.9827,1,0.995,0.8955,0.43993,0.33909,0.82888,0.0012278,0.0012278,0.0012278
119,367.249,0.63045,0.45583,0.82579,0.98267,1,0.995,0.92043,0.39979,0.34417,0.83197,0.0012212,0.0012212,0.0012212
120,370.075,0.59661,0.45051,0.79381,0.98202,1,0.995,0.94519,0.36991,0.32551,0.83103,0.0012146,0.0012146,0.0012146
121,372.698,0.62413,0.46851,0.79758,0.98202,1,0.995,0.94519,0.36991,0.32551,0.83103,0.001208,0.001208,0.001208
122,375.499,0.56212,0.4592,0.81417,0.98142,1,0.995,0.8955,0.38432,0.27996,0.83263,0.0012014,0.0012014,0.0012014
123,378.322,0.63647,0.48485,0.79734,0.98156,1,0.995,0.8955,0.43256,0.34721,0.83719,0.0011948,0.0011948,0.0011948
124,381.261,0.66192,0.48888,0.80878,0.98162,1,0.995,0.82106,0.45508,0.39754,0.84126,0.0011882,0.0011882,0.0011882
125,383.862,0.70332,0.48678,0.78677,0.98162,1,0.995,0.82106,0.45508,0.39754,0.84126,0.0011816,0.0011816,0.0011816
126,386.504,0.68362,0.48243,0.82461,0.98154,1,0.995,0.82107,0.47714,0.45379,0.83534,0.001175,0.001175,0.001175
127,389.218,0.64406,0.45093,0.79962,0.98122,1,0.995,0.94535,0.46103,0.45468,0.83198,0.0011684,0.0011684,0.0011684
128,392.279,0.63486,0.45783,0.81254,0.98203,1,0.995,0.94542,0.44212,0.38016,0.83974,0.0011618,0.0011618,0.0011618
129,395.303,0.62775,0.4731,0.77959,0.98203,1,0.995,0.94542,0.44212,0.38016,0.83974,0.0011552,0.0011552,0.0011552
130,398.532,0.71848,0.52206,0.80767,0.98241,1,0.995,0.8955,0.403,0.41531,0.82781,0.0011486,0.0011486,0.0011486
131,401.352,0.6665,0.56087,0.74468,0.98244,1,0.995,0.92062,0.39813,0.36599,0.83171,0.001142,0.001142,0.001142
132,404.086,0.53755,0.44171,0.77936,0.98238,1,0.995,0.8955,0.51645,0.39117,0.83297,0.0011354,0.0011354,0.0011354
133,406.653,0.62809,0.48318,0.84387,0.98238,1,0.995,0.8955,0.51645,0.39117,0.83297,0.0011288,0.0011288,0.0011288
134,409.372,0.75449,0.49013,0.83727,0.9821,1,0.995,0.92072,0.455,0.40246,0.8277,0.0011222,0.0011222,0.0011222
135,412.116,0.59997,0.49564,0.83559,0.98188,1,0.995,0.94591,0.36007,0.3603,0.82638,0.0011156,0.0011156,0.0011156
136,414.731,0.67866,0.47748,0.81982,0.9821,1,0.995,0.94642,0.39431,0.33141,0.83307,0.001109,0.001109,0.001109
